,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
0,2016,7,2,12,1601,NEPARTAK,2,8.3,145.1,1006,0,0,0,0,0,0,0,0,2016-07-02 12:00:00,1467460800
1,2016,7,2,18,1601,NEPARTAK,2,8.6,145.0,1004,0,0,0,0,0,0,0,0,2016-07-02 18:00:00,1467482400
2,2016,7,3,0,1601,NEPARTAK,3,8.9,144.9,1002,35,0,0,0,4,180,120,0,2016-07-03 00:00:00,1467504000
3,2016,7,3,6,1601,NEPARTAK,3,9.2,144.8,1002,35,0,0,0,4,180,120,0,2016-07-03 06:00:00,1467525600
4,2016,7,3,12,1601,NEPARTAK,3,10.0,144.4,1000,35,0,0,0,4,180,120,0,2016-07-03 12:00:00,1467547200
5,2016,7,3,18,1601,NEPARTAK,3,10.9,143.9,996,40,0,0,0,9,150,150,0,2016-07-03 18:00:00,1467568800
6,2016,7,4,0,1601,NEPARTAK,3,11.9,142.6,996,40,0,0,0,9,150,150,0,2016-07-04 00:00:00,1467590400
7,2016,7,4,6,1601,NEPARTAK,3,12.8,141.1,994,45,0,0,0,1,180,150,0,2016-07-04 06:00:00,1467612000
8,2016,7,4,12,1601,NEPARTAK,4,13.5,139.6,990,50,0,0,0,1,180,150,0,2016-07-04 12:00:00,1467633600
9,2016,7,4,18,1601,NEPARTAK,4,14.5,138.2,980,60,9,40,40,1,180,150,0,2016-07-04 18:00:00,1467655200
10,2016,7,5,0,1601,NEPARTAK,5,15.3,136.6,965,65,9,40,40,1,180,150,0,2016-07-05 00:00:00,1467676800
11,2016,7,5,6,1601,NEPARTAK,5,16.3,135.1,955,75,9,40,40,1,180,150,0,2016-07-05 06:00:00,1467698400
12,2016,7,5,12,1601,NEPARTAK,5,17.1,133.5,940,85,9,50,50,1,180,150,0,2016-07-05 12:00:00,1467720000
13,2016,7,5,18,1601,NEPARTAK,5,18.0,131.9,925,95,9,50,50,1,240,150,0,2016-07-05 18:00:00,1467741600
14,2016,7,6,0,1601,NEPARTAK,5,18.7,130.1,915,100,9,60,60,1,240,150,0,2016-07-06 00:00:00,1467763200
15,2016,7,6,6,1601,NEPARTAK,5,19.5,128.4,900,110,9,60,60,1,240,150,0,2016-07-06 06:00:00,1467784800
16,2016,7,6,12,1601,NEPARTAK,5,20.1,127.0,900,110,9,60,60,9,210,210,0,2016-07-06 12:00:00,1467806400
17,2016,7,6,18,1601,NEPARTAK,5,20.7,125.6,900,110,9,60,60,9,210,210,0,2016-07-06 18:00:00,1467828000
18,2016,7,7,0,1601,NEPARTAK,5,21.3,124.3,900,110,9,60,60,9,210,210,0,2016-07-07 00:00:00,1467849600
19,2016,7,7,6,1601,NEPARTAK,5,21.6,123.4,900,110,9,60,60,9,210,210,0,2016-07-07 06:00:00,1467871200
20,2016,7,7,12,1601,NEPARTAK,5,22.0,122.6,900,110,9,50,50,9,210,210,0,2016-07-07 12:00:00,1467892800
21,2016,7,7,18,1601,NEPARTAK,5,22.4,121.7,920,90,9,50,50,9,210,210,0,2016-07-07 18:00:00,1467914400
